num,mot,categorie,traduction,phrase_tr,phrase_en,frequence,indice,categorie_2,traduction_2,phrase_2_tr,phrase_2_en,categorie_3,traduction_3,phrase_3_tr,phrase_3_en
539,araba,n,car,Araba yavahladı.,The car slowed down.,14845,0.90,,,,,,,,
540,kamu,n,public,"Yürütme gücü, fonksiyonlarını kamu bürokrasisi aracılıjıyla yerine getirir.",The ruling power functions through a public bureaucracy.,17144,0.77,,,,,,,,
541,polis,n,police,Polis 100 göstericiyi tutukladı.,Police arrested 100 protesters.,14921,0.89,,,,,,,,
542,kap,v,"to grab, to seize, to catch",Git lejeni kap banyodan.,Go and grab a bowl from the bathroom.,14390,0.92,n,"pot, plate, container",,Sıcak bir kap yemejin tadını unutmuhlar. — •  Sıcak bir kap yemejin tadını unutmuhlar. — They have forgotten the taste of a hot pot of food.,,,,
543,ajır,adj,heavy,Bu deniz kabukları çok ajır dejil mi?,Aren’t these seashells very heavy?,14024,0.94,,,,,,,,
544,boyunca,posp,"alongside, throughout",Yol boyunca küçük yerlehim birimlerinde tarihi eserler dikkati çekiyordu.,"Alongside the road, ancient monuments in small settlements were attracting attention.",13776,0.96,,,,,,,,
545,boy,n,"height, length",Bu dönemde bitkiler 15–20 cm boy almıhtır.,"During this period, plants grew 15–20 cm in height.",14141,0.93,,,,,,,,
546,kural,n,rule,"Deneyin, göreceksiniz, hiç hahmaz bu kural.","Try and see, this is an unfailing rule.",14402,0.91,,,,,,,,
547,yardımcı,n,"aide, helper",Seni de yardımcım olarak en önemli göreve getirecejim.,I will assign you to an important position as my aide.,14128,0.93,,,,,,,,
548,anlayıh,n,understanding,Umarım anlayıh gösterirsin.,I hope you will show some understanding.,14746,0.89,,,,,,,,
549,pazar,n,market,"Türkiye pazar olarak dejil, ancak konum olarak eski önemini yitirdi.",Turkey has lost its previous importance not as a market but as a location.,15866,0.83,,,,,,,,
550,ruh,n,"soul, spirit",Bu arada hiçbir ruh ve beden dejihimi de yahamadık.,"Meanwhile, we have not experienced any change in spirit or body.",14920,0.88,,,,,,,,
551,kır,v,to break,,,,,n,countryside,,,adj,gray •  Jessi Owens 1935 yılında bir saat içinde,,
6,dünya,rekoru,kırdı. —   Jesse Owens broke six world records in an hour in 1935.,Biraz kır gezintisi yaptık.,We took a short trip to the countryside.,13968,0.93,,,,"Yahlı, kır saçlı doktor yanıma oturdu. — •  Yahlı, kır saçlı doktor yanıma oturdu. — An old, gray-haired doctor sat beside me.",,,,
552,model,n,model,Bu program aslında bir model önerisi dejildir.,This program is not a real proposal for a model.,15044,0.87,,,,,,,,
553,hiir,n,"poem, poetry",Örnejin hiiri hiir yapan unsurlarda heklin önemi nedir?,"For example, what is the significance of form among other factors that make a poem a poem?",16419,0.79,,,,,,,,
554,çal,v,"to steal, to play an instrument",Sakın ola ne çal ne de görmeden al.,Don’t dare to either steal or buy without seeing it first.,14688,0.89,,,,,,,,
555,siyasi,adj,political,Tarihte savahlar daima böyle bir siyasi bunalım dönemini izlemihtir.,The wars in history always followed such political turmoil.,15275,0.85,,,,,,,,
555,siyasi,adj,political,Tarihte savahlar daima böyle bir siyasi bunalım dönemini izlemihtir.,The wars in history always followed such political turmoil.,15275,0.85,,,,,,,,
556,herhangi,adv,"whichever, any",Anayasa’yı ihlal eden herhangi bir eylem (davranıh) geçersiz ve yok sayılacaktır.,Any action (or behavior) transgressing the Constitution will be deemed invalid or nonexistent.,13877,0.94,,,,,,,,
557,bakıh,n,"glance, view",Genih bir bakıh açısıyla tersine dönühün yahandıjı görülecektir.,"From a wider point of view, it will be observed that there is a turning back.",14190,0.91,,,,,,,,
558,baharı,n,success,Sana baharı ve sabır diliyorum.,I wish you success and patience.,14077,0.92,,,,,,,,
559,hesap,n,calculation,Küçük bir hesap yapalım.,Let’s make a small calculation.,14658,0.88,,,,,,,,
560,milli,adj,national,Cumhuriyet bizim milli yolumuz.,The republic is our national road to pursue.,15237,0.85,,,,,,,,
561,yavah,adj,slow,"Bazıları yavah hareket eder, çok az ihi çok uzun zamana yayar.","Some move very slowly, and expand very few tasks over a long period of time.",14048,0.92,,,,,,,,
562,piyasa,n,market,Serbest piyasa ekonomisi günün modası.,A free market economy is fashionable today.,18530,0.70,,,,,,,,
563,çerçeve,n,frame,Bu teknolojiyle ilgili olarak henüz bir çerçeve çizilememihtir.,No frame has been drawn up for this technology yet.,14782,0.87,,,,,,,,
564,hart,n,condition,Tek hart herkesle ehit uzaklıktır.,The only condition is having an equal distance with everybody.,13910,0.92,,,,,,,,
565,ciddi,adj,serious,Bu üç kriter arasında ciddi bir ilihki mevcuttur.,There exists a serious relation among these three criteria.,13428,0.95,,,,,,,,
566,niye,adv,why,Niye diye sorulmadan önce cevap verelim.,"Before someone raises the question why, we will give an answer.",15136,0.84,,,,,,,,
567,yalnızca,adv,"just, only",Elimizdeki verilerden yalnızca ihimize yarayanı kullanıyoruz.,We use only those data at hand that work for us.,13638,0.93,,,,,,,,
568,yakala,v,to catch,Kuyrujundan yakala onu.,Catch it by the tail.,13367,0.94,,,,,,,,
569,güvenlik,n,"security, safety",Bu bisiklette önce güvenlik gelmektedir.,Safety comes first with this bicycle.,14671,0.85,,,,,,,,
570,beri,posp,since,Genç ve güzel kalma tutkusu çok eskilerden beri var insanojlunda.,The desire to stay young and beautiful has existed in man since ancient times.,13022,0.96,,,,,,,,
571,izin,n,permission,"Savunma Bakanlıjı, halkın tepkisini paylahmak için gösteriye izin verdi.",The Ministry of Defence granted permission for a demonstration in order to gauge public reaction.,13122,0.95,,,,,,,,
572,miktar,n,quantity,Onun için meyve sularında bir miktar alkol bulunabilir.,"For that reason, a small quantity of alcohol can be found in fruit juices.",15335,0.81,,,,,,,,
573,birey,n,individual,Her kuhak ve her birey yeni sorular ortaya atar.,Each generation and each individual ask new questions.,14713,0.85,,,,,,,,
574,tercih,n,preference,Sinekler ajaçların güneh gören taraflarını tercih ederler.,Flies have a preference for shadowy parts of trees.,13485,0.92,,,,,,,,
575,düzen,n,order,Evrende bir düzen ve ritim vardır.,There is an order and a rhythm in the universe.,13666,0.90,,,,,,,,
576,il,n,city,Yeni il yönetiminde görev bölümü yapıldı.,Distribution of responsibilities has been completed in the new city administration.,13790,0.90,,,,,,,,
577,hastalık,n,"illness, sickness",Günümüzde bu hastalık Afrika’nın az gelihmih ülkelerinde görülür.,"Today, we find this illness in underdeveloped countries of Africa.",15411,0.80,,,,,,,,
578,cumhuriyet,n,republic,Cumhuriyet’in kuruluhunda Sovyetlerin parmajı vardır.,There is Soviet involvement in the foundation of the republic.,13791,0.89,,,,,,,,
579,tip,n,type,Dojada iki tip beslenme zinciri görülmektedir.,Two types of food chains are observed in nature.,13793,0.89,,,,,,,,
580,talep,n,demand,Kursları sanayinin talep yapısına uygun hekilde düzenlemektedir.,They organize courses appropriate to the demands of the industry.,14869,0.82,,,,,,,,
581,dakika,n,minute,Ve ihte o zaman 15 dakika dühünmüh.,And then he thought for 15 minutes.,14216,0.86,,,,,,,,
582,masa,n,table,Masa çevresindekiler merakla beni izliyordu.,Those around the table were watching me curiously.,13993,0.88,,,,,,,,
583,kesim,n,"part, portion, sector",Ejitimi devlet ya da özel kesim örgütleyebilir.,Either state or private sector can organize education.,13905,0.88,,,,,,,,
584,resim,n,"picture, photograph",Resim için tehekkürler.,Thank you for the photograph.,14695,0.83,,,,,,,,
585,beyaz,adj,white,Lekelerin etrafı beyaz kalın çerçeveli.,The spots have thick white frames around them.,13245,0.92,,,,,,,,
586,yaklahmak,v,to approach,Yemin töreni yaklahıyor.,The swearing-in ceremony is approaching.,13153,0.93,,,,,,,,
587,ajla,v,to cry,Ajla dediler mi ajlıyordum.,"When someone says cry, I start to cry.",14096,0.87,,,,,,,,
588,hayvan,n,animal,Hayvan ve bitki dokularında fosfor bulunur.,Phosphorus is found in animal and plant tissues.,13305,0.91,,,,,,,,
589,vergi,n,tax,Türkiye’deki vergi kaçakçılıjı oranları da artıyor.,The proportion of tax fraud in Turkey is also increasing.,16768,0.72,,,,,,,,
590,bahkası,pron,someone else,Bahkası olacajına ben olayım dedim.,"I said, it is better me rather than someone else.",13121,0.92,,,,,,,,
591,kimlik,n,identity,Burada söz konusu olan farklı kimliklere dönük siyaset dejildir.,What is at hand here is not a policy targeting different identities.,13728,0.88,,,,,,,,
592,öjret,v,to teach,ku ihin sırrını bana da öjret.,Teach me the secret of this.,13808,0.87,,,,,,,,
593,televizyon,n,television,Karhımızda bir televizyon ekranı duruyor.,A television screen stands in front of us.,13113,0.92,,,,,,,,
594,güneh,n,sun,Kardan adam varsa güneh; güneh varsa kardan adam yoktur.,"When there is a snowman, there is no sun; when there is sun, there is no snowman.",13468,0.90,,,,,,,,
595,duvar,n,wall,Duvar üzerlerine yıkıldı.,The wall collapsed on top of them.,13584,0.89,,,,,,,,
596,fiyat,n,price,Ürünün satıldıjı fiyat düzeyinin kontrolü ihracatçının elindedir.,The sales price of a product is controlled by the exporter.,16412,0.73,,,,,,,,
597,tah,n,stone,Tah ve sopaların da kullanıldıjı çatıhma bir süre devam etti.,The fight in which stones and sticks were used lasted for a while.,12976,0.92,v,to boil over,Tencere tahtıktan sonra gazın yanıp   Tencere tahtıktan sonra gazın yanıp yanmadıjı kontrol edilmeli.,One should check the gas after the pot has boiled over.,,,,
597,tah,n,stone,Tah ve sopaların da kullanıldıjı çatıhma bir süre devam etti.,The fight in which stones and sticks were used lasted for a while.,12976,0.92,v,to boil over,Tencere tahtıktan sonra gazın yanıp   Tencere tahtıktan sonra gazın yanıp yanmadıjı kontrol edilmeli.,One should check the gas after the pot has boiled over.,,,,
598,siyasal,adj,political,Kamu yönetimi siyasal iktidarın yürütme aracıdır.,Public administration is a tool for political government.,14867,0.81,,,,,,,,
599,kan,n,blood,Bazı durumlarda kan damarlarda pıhtılahma ejilimi gösterir.,"In some cases, blood tends to clot in veins.",13252,0.90,,,,,,,,
600,dolu,adj,"full, filled",Ben her zaman bardajın dolu kısmını görmeye çalıhıyorum.,I always try to see the glass as half-full.,13264,0.90,,,,,,,,
601,giy,v,"to put on, to wear",ku kabanı sen giy bu sefer.,"This time, put on that coat.",14573,0.82,,,,,,,,
602,tanımla,v,to define,Kurulan özdehlikse himdi bir bilinçdıhı öfkenin varlıjını tanımlar gibidir.,The established identity seems to define the existence of an unconscious rage.,13471,0.89,,,,,,,,
603,yansı,v,"to echo, to reflect from",Birkaç hafta sonra bu olay gazetelere yansıdı.,"A few weeks later, this incident was echoed in newspapers.",13005,0.92,,,,,,,,
604,eser,n,"work, opus",Bu eser günümüzde eski Yahudi takvim sistemi için önemli bir kaynaktır.,This work is an important source today for the old Jewish calendar system.,13907,0.86,,,,,,,,
605,güven,v,to trust,Sana bir kere güvendi mi tamam.,It is okay when he trusts you once.,12576,0.95,n,trust,,Hükümete güven yok. —   No trust in •  Hükümete güven yok. —   No trust in the government.,,,,
606,ilke,n,principle,Özerklik ilkesi federasyonlar için geçerli bir ilke olabilir mi?,Could the principle of autonomy be a valid principle for federations?,13704,0.86,,,,,,,,
607,henüz,adv,yet,Bu dönemde henüz teleskop icat edilmemihti.,"In this period, the telescope was yet to be discovered.",12397,0.95,,,,,,,,
608,boyut,n,dimension,Bu iki boyut teolojik boyutla desteklenmih ve tamamlanmıhtır.,These two dimensions are supported and completed by the theological dimension.,13177,0.90,,,,,,,,
609,uza,v,to get longer,Sorular uzadıkça uzadı.,The questions got longer and longer.,13095,0.90,,,,,,,,
610,defa,n,time,glk defa trene biniyorum.,I am catching a train for the first time.,12289,0.96,,,,,,,,
611,sanayi,n,"industry, industrial","Ortaya çıkan toplum, bir sanayi ve kent toplumudur.",The emerging society is an industrial and urban society.,14981,0.78,,,,,,,,
612,güçlü,adj,"strong, powerful","Daj bisikleti sporu güçlü refleksler, kondisyon ve kas gücü gerektirir.","A mountain bike requires strong reflexes, good conditioning and powerful muscles.",12349,0.95,,,,,,,,
613,falan,pron,or anything like that,"Ben bir önder, bir lider, bir ileri gelen falan dejilim.",I am not a leader or dignitary or anything like that.,16304,0.72,,,,,,,,
614,sar,v,"to wrap, to roll","Gel bebejim, atehinle sar beni.","Come on baby, wrap me up with your flames.",13100,0.89,,,,,,,,
615,iharet,n,sign,Bu husus güneh saatlerinde iki ayrı iharet ile gösterilmihtir.,That point is marked by two different signs on a sundial.,12260,0.95,,,,,,,,
616,birleh,v,to unite,Yüzlerce insanın elleriyle birlehti ellerimiz.,Our hands are united with those of hundreds of others.,12281,0.94,,,,,,,,
617,esas,n,fundamental,"Hidrojenin esas kaynakları su, petrol ve dojalgazdır.","The fundamental sources of hydrogen are water, oil and natural gas.",12902,0.90,,,,,,,,
618,sevgili,n,beloved,kimdilik hohçakal sevgili kardehim.,"Goodbye for the time being, my beloved brother.",13080,0.88,,,,,,,,
619,eylem,n,action,Ben eylem ve kavga adamıyım.,I am a man of action and fight.,13062,0.88,,,,,,,,
620,kıl,n,human hair,Sadece parmak uçlarımız ve tabanlarımızda kıl yoktur.,Only on our fingertips and on the soles of our feet do we not have hair.,12841,0.90,,,,,,,,
621,çaba,n,effort,Mesela roman daha disiplinli bir çalıhma ve çaba gerektiren bir tür.,"For example, a novel is a genre that demands more disciplined work and effort.",12462,0.92,,,,,,,,
622,sene,n,year,Her sene kubat’ta su kuhlarının sayımı yapılmaktadır.,"In February every year, water birds are counted.",13419,0.86,,,,,,,,
623,hani,adv,so,Hani müdahale edilmeyecekti?,"So, supposedly there will be no intervention?",15864,0.72,,,,,,,,
624,ujra,v,to stop by,gstedijin zaman ara beni ujra hatta.,"Call me whenever you want, stop by, even.",11909,0.96,,,,,,,,
625,kelime,n,word,Bu sorunun cevabı tek kelime ile “Hayır.”,The answer to this question in one word is “No.”,12496,0.91,,,,,,,,
626,fotojraf,n,photograph,Fotojrafları ilk olarak Amerikan CBS televizyonu yayınlamıhtı.,His photographs were first broadcasted by American CBS television.,13537,0.84,,,,,,,,
627,suç,n,crime,Bundan daha büyük suç olur mu?,Is there a crime bigger than this?,12749,0.89,,,,,,,,
628,bahçe,n,garden,Konser verdijimiz bahçe himdi yatakhane olmuhtu.,The garden in which we performed has now been turned into a dormitory.,12957,0.87,,,,,,,,
629,ceza,n,punishment,Bu suçlar savah sırasında ihlenirse ceza müebbet hapis olacak.,"If these crimes are committed during the war, the punishment will be a life prison sentence.",12805,0.88,,,,,,,,
630,ah,v,to cross over,Kocası sınırı ahtı.,Her husband crossed over the border.,11913,0.95,n,"food, cooked food",,Ah beraber pihiriliyordu. —   The food was •  Ah beraber pihiriliyordu. —   The food was cooked collectively.,,,,
631,ekle,v,to add,Limonu avucuna sıkıp musluktan su ekledi.,"He squeezed lemon into his hand, and added water from the tap.",12121,0.93,,,,,,,,
632,yönetici,n,"manager, administrator",Yönetici az sonra iki resimle geri döndü.,The manager returned after a short while with two pictures.,12866,0.87,,,,,,,,
633,birden,adv,suddenly,Birden beyinlerimizde birer himhek çaktı.,"Suddenly, an idea struck us all.",12539,0.89,,,,,,,,
634,iktidar,n,"ruling body, power",Bu toplumlarda iktidar tıpkı servet gibi ehitsiz dajılmıhtır.,"In this society, like wealth, power is not distributed evenly.",13041,0.86,,,,,,,,
635,içer,v,"to include, contain",Hidrojen atomu bir elektron ve bir proton içerir.,A hydrogen atom contains an electron and a proton.,12711,0.88,,,,,,,,
636,dejihik,adj,"different, unusual",Her ustanın dejihik bir görühü olabilir.,Every master may have a different opinion.,12030,0.93,,,,,,,,
637,koca,n,husband,Kocası cezaevinde yatıyormuh.,Her husband was in jail.,12791,0.87,,,,,,,,
638,yaklahım,n,approach,Bu yaklahım giderek bahka alanlara da yansıdı.,This approach spread over to other fields eventually.,12674,0.88,,,,,,,,
639,dolayı,posp,"because of, due to","Bu sebeplerden dolayı, zeytin iskelet sistemi için son derece önemlidir.","Because of these reasons, olives are vital for the skeletal system.",11779,0.94,,,,,,,,
640,ticaret,n,"trade, commerce",Pakistan ile Hindistan ortak ticaret ve sanayi odası oluhturdu.,Pakistan and India formed a common trade and industry chamber.,14670,0.76,,,,,,,,
640,ticaret,n,"trade, commerce",Pakistan ile Hindistan ortak ticaret ve sanayi odası oluhturdu.,Pakistan and India formed a common trade and industry chamber.,14670,0.76,,,,,,,,
641,tamamla,v,to complete,Bir sorun çıkmadan görevini tamamladı.,He completed his mission without trouble.,11849,0.93,,,,,,,,
642,demokrasi,n,democracy,Proje standart bir demokrasi modeli öngörmektedir.,The project assumes a standard model of democracy.,13079,0.85,,,,,,,,
643,sok,v,to insert,"kunu al, cebine sok çabuk.","Take this and insert into your pocket, quick.",11635,0.95,,,,,,,,
644,yatırım,n,investment,Yarına en büyük yatırım çocuk hakları.,The biggest investment in the future is child rights.,15321,0.72,,,,,,,,
645,ters,adj,"adverse, reverse",Böyle bir uygulama bana çok ters geldi ve itiraz ettim.,I considered such an implementation very adverse and I objected.,11435,0.97,,,,,,,,
646,üçüncü,adj,third,Gene üçüncü kuralı uygularız.,"Again, we employ the third rule.",11616,0.95,,,,,,,,
647,nüfus,n,population,gstanbul kendine göre bir nüfus politikası takip etti.,Istanbul pursued its own population policy.,12292,0.90,,,,,,,,
648,özgürlük,n,"freedom, liberty",Özgürlük bahkaldırıyı gerektirmektedir.,Freedom necessitates rebellion.,12255,0.90,,,,,,,,
649,yıllık,n,"annual, yearly",Yıllık yajıh miktarı 110 mm’dir.,The annual rainfall is 100 mm.,12220,0.90,,,,,,,,
650,beyin,n,brain,"Ama ne yazık ki, tarayıcı beyin dokusuna zarar veriyor.","However, I’m afraid the scanner harms brain tissue.",12327,0.89,,,,,,,,
651,derin,adj,"deep, profound",Yılan balıkları derin su balıklarıdır.,Eels are deep water fish.,11893,0.92,,,,,,,,
652,yay,v,to spread,Bu salgın nasıl oldu da bu kadar yayıldı?,How was this epidemic able to spread that much?,11486,0.95,n,"bow, arc","Baba, eline geçirdiji bir sopayla yere iki tane   Baba, eline geçirdiji bir sopayla yere iki tane yay çizdi.",Father drew two arcs on the ground with a stick.,,,,
653,artıh,n,increase,"Sonuç, kanser vakalarında artıh.","The end result, an increase in cancer cases.",14712,0.74,,,,,,,,
654,hayal,n,fantasy,"Genetik mühendisliji, insanın hayal gücüyle sınırlıdır.",Genetic engineering is limited by the power of human fantasy.,11978,0.91,,,,,,,,
655,dejihim,n,change,Dejihim duygusal tepkileri devinime geçirir.,Change sets into motion the emotional responses.,12293,0.89,,,,,,,,
656,karı,n,wife,Karım bunu yaptıjımı görürse beni eve almaz.,"If my wife sees me doing this, she wouldn’t let me home.",12514,0.87,,,,,,,,
657,müdür,n,"director, chief, headmaster",Okulumuza yeni bir müdür atanmıhtı.,A new headmaster was appointed at our school.,12157,0.89,,,,,,,,
658,yaklahık,adj,"approximate, approximately",Uzunluju ise yaklahık 1100 m’yi bulmaktadır.,Its length is approximately 1100 m.,12097,0.89,,,,,,,,
659,metin,n,text,Metin yorumcunun soruyu yeniden kurabileceji temeli oluhturur.,The text forms the basis upon which the interpreter may reformulate the question.,12343,0.87,,,,,,,,
660,istek,n,"wish, desire",Bireyin tutumları onun istek ve amaçlarını yansıtır.,The attitudes of the individual reflect their wishes and aims.,11352,0.95,,,,,,,,
661,kalp,n,heart,Kalp krizinde duyulana benzer bir sancı göjsüne saplanmıhtı.,He felt a pain in his chest similar to a heart attack.,12534,0.86,,,,,,,,
662,sıcak,adj,hot,Hastanın yattıjı oda ne sojuk ne de sıcak olmalıdır.,The room in which the patient is staying should be neither cold nor hot.,11559,0.93,,,,,,,,
663,harca,v,to spend,gktisadı bırakma: gstikrarı ara ama iyi de harca.,Don’t give up saving; seek stability but spend well.,12346,0.87,,,,,,,,
664,mevcut,adj,present,Mevcut literatürde bu konuyla ilgili bir bulguya rastlanmamıhtır.,No evidence could be found on the issue in the present literature.,12151,0.88,,,,,,,,
665,saç,n,hair,Saç teli bulunmadıjından teröristlerin kel olduklarına karar verdi.,"Since he found no hair, he concluded the terrorists were bald.",13002,0.82,v,to scatter,,Tohumları saçtı. —   He scattered the seeds. •  Tohumları saçtı. —   He scattered the seeds.,,,,
666,korku,n,fear,Korku nasıl alaya dönühür?,How does fear turn into sarcasm?,11736,0.90,,,,,,,,
667,hızlı,adj,"rapid, speedy",Kadın erkek ilihkisi tarihteki en hızlı dejihim sürecini yahıyor.,The relationship between the sexes has undergone the most rapid change in history.,11587,0.91,,,,,,,,
668,mektup,n,letter,"Bu mektup bana bir hafta önce geldi, fakat ben ne yapacajımı bilemedim.",This letter came to me a week ago but I couldn’t figure out what to do.,11729,0.90,,,,,,,,
669,meslek,n,"profession, occupation",Dejihik meslek alanlarında bir çok üyemiz var.,We have many members from different professions.,11896,0.89,,,,,,,,
670,evlen,v,to marry,Bana dedi ki “ojlum evlen.”,"He told me, “Son, marry the girl.”",11554,0.91,,,,,,,,
671,iddia,n,claim,Bu yazının akademik anlamda bir mükemmellik iddiası olmayacak.,This article will have no claim to excellence in terms of its academic meaning.,11984,0.88,,,,,,,,
672,dök,v,to pour,kimdi git onları çöp tenekesine dök.,Now go and pour them all into the trash.,11520,0.91,,,,,,,,
673,takım,n,team,Ancak iki takım da ihi uzatmaya ya da penaltılara bırakmak istemiyor.,"However, both teams do not want the game to go to extra time or penalty shootout.",16339,0.64,,,,,,,,
674,kihilik,n,personality,Bu hastalık kihilik krizinin yarattıjı yabancılahmıh bir dünyaya intibak problemidir.,This illness arises from a problem of integration into an alien world caused by personality crises.,11400,0.92,,,,,,,,
675,çiçek,n,flower,Bildijimiz ev çiçek böcek resimleri dejil bunlar.,"These are not the pictures of a house, a flower or a bug as we know them.",11940,0.88,,,,,,,,
676,katkı,n,contribution,Kurulacak bir hehir akvaryumu sosyal dinamiklere katkı sajlayacaktır.,A city aquarium that will be built will make a contribution to social dynamics.,11753,0.89,,,,,,,,
677,çajır,v,"to call, to invite",Hadi git çajır onu bana.,Go and call him for me.,11286,0.93,,,,,,,,
678,zarar,n,damage,Bitkilere verdiji zarar yanında dijer canlılar da olumsuz etkilenmektedir.,"In addition to its damage to plants, it also affects other living beings.",11297,0.92,,,,,,,,
679,kriz,n,crisis,Dıh basın büyük kriz bekliyor.,The foreign press anticipates a huge crisis.,12527,0.83,,,,,,,,
680,kullanım,n,"use, usage",Bu alanlar ahırı kullanım nedeniyle bozulmaya karhı çok duyarlıdırlar.,These fields are very sensitive to deterioration due to excessive use.,12292,0.84,,,,,,,,
681,yönel,v,to head towards,Bahçe kapısına dojru yöneldi.,He headed towards the garden gate.,11063,0.94,,,,,,,,
681,yönel,v,to head towards,Bahçe kapısına dojru yöneldi.,He headed towards the garden gate.,11063,0.94,,,,,,,,
682,olanak,n,"opportunity, means, resource",Bu olanak en fazla Türkiye’de belirginlehmihtir.,This opportunity became more apparent in Turkey.,11574,0.89,,,,,,,,
683,ulusal,adj,national,Özellikle ulusal birlijin kurulması gecikmihtir.,"Especially, the foundation of national unity was delayed.",12012,0.86,,,,,,,,
684,gez,v,"to stroll, to go around","gki saatte bütün katları gez dolah, depoya bak.","In two hours’ time, go around all floors and check the depot.",11436,0.90,,,,,,,,
685,lazım,adj,"required, necessary",Her kohulu ayrı ayrı dejerlendirmek lazım.,It is necessary to evaluate each condition separately.,12492,0.83,,,,,,,,
686,kurtul,v,to be rescued,kans eseri kurtuldu bu saldırıdan.,"Luckily, he was rescued from that attack.",11098,0.93,,,,,,,,
687,firma,n,"firm, company","Bu alanda çalıhan firma sahipleri, dernek bile kurdu.",The company owners in this field have also founded an association.,14674,0.70,,,,,,,,
688,mesela,conj,for example,Mesela Çin bunların tipik örneji.,"For example, China is a typical case.",13159,0.78,,,,,,,,
689,dene,v,"to try, to test",Akham dene ve gör.,Try and see in the evening.,11014,0.93,,,,,,,,
690,sermaye,n,capital,Çünkü biz sermaye kıtlıjı içinde olan bir ülkeyiz.,Because we are country with a deficiency of capital.,13822,0.74,,,,,,,,
691,çaj,n,"era, epoch, age",Bir çaj dönümünde yahıyoruz.,We are living at the dawn of a new era.,11091,0.92,,,,,,,,
692,rapor,n,report,Rapor mahkemenin 11 üyesine dajıtılacak.,,11453,0.89,,,,,,,,
692,rapor,n,report,Rapor mahkemenin 11 üyesine dajıtılacak.,,11453,0.89,,,,,,,,
693,daj,n,mountain,kaman ayinlerinde daj kültü hep ön sıradadır.,The mountain cult is always a forerunner in shamanistic rituals.,11340,0.89,,,,,,,,
694,mahkeme,n,law court,Hariri suikastı için özel mahkeme kurulacak.,A special court will be appointed for the Hariri assassination.,11826,0.86,,,,,,,,
695,kara,adj,"black, dark","Kara, kuru çirkin bir kız oldujunu dühündüm.","I thought she was a dark, skinny and ugly girl.",10971,0.92,n,land,Bodrum’a kara deniz ve hava yoluyla   Bodrum’a kara deniz ve hava yoluyla ulahmak çok kolay.,"It is very easy to get to Bodrum by land, sea and air.",,,,
696,ilerle,v,to go forward,Yavah yavah oraya dojru ilerle.,"Slowly, go forward to that location.",10582,0.96,,,,,,,,
697,sahne,n,stage,Böylece sahne hayatına atıldım.,"Thus, my stage life began.",12086,0.84,,,,,,,,
698,merak,n,curiosity,gnsanın merak hissinin iki boyutu vardır.,Mankind’s sense of curiosity has two dimensions.,11226,0.90,,,,,,,,
699,ilgilen,v,"to show interest, to take care",ghin ticari yönüyle ilgilen yeter.,"Just take care of the commercial aspect of the business, it will be enough.",10424,0.97,,,,,,,,
700,destekle,v,to support,Bu diktatörü de sonuna kadar destekledi.,He supported this dictator to the end.,11288,0.89,,,,,,,,
701,hazır,adj,"ready, prepared",Operasyon planı hazır.,The operation plan is ready.,10400,0.96,,,,,,,,
702,mutlu,adj,happy,Senin mutlulujun beni de mutlu ediyordu.,Your happiness also made me happy.,11177,0.89,,,,,,,,
703,dühük,adj,"low, fallen, reduced",Dühük IQ’lu ailelerde daha çok çocuk yapılmaktadır.,Families with low IQs have more babies.,12125,0.82,,,,,,,,
703,dühük,adj,"low, fallen, reduced",Dühük IQ’lu ailelerde daha çok çocuk yapılmaktadır.,Families with low IQs have more babies.,12125,0.82,,,,,,,,
704,iletihim,n,communication,Telgrafa mucizevi bir iletihim buluhu olarak bakılıyordu.,The telegraph was perceived as a miraculous invention of communication.,11515,0.87,,,,,,,,
705,vakit,n,time,Ve kimileri için vakit geldijinde galiba çok geç olacak!,And probably it will be too late for some when the time comes!,10942,0.91,,,,,,,,
706,ahama,n,level,Ancak bu ahama çalıhmanın kapsamını ahtıjı için ele alınmamıhtır.,"However, since this level is beyond the scope of the study, it will not be discussed.",11132,0.89,,,,,,,,
707,çiz,v,to draw,Hadi çiz bi heyler.,"OK, draw something.",10405,0.95,,,,,,,,
708,acaba,adv,I wonder,Ay’da neler gördü acaba.,I wonder what he might have seen on the Moon.,10898,0.91,,,,,,,,
709,davran,v,to treat,"Lütfen, biraz saygılı davran.","Please, treat him more respectfully.",10515,0.94,,,,,,,,
710,dolah,v,"to stroll, to tangle",Kırlarda dolah ve yamaçlara tırman!,"Stroll in the countryside, climb some slopes!",10965,0.90,,,,,,,,
711,gözle,v,"to watch, to observe",Bu kez ojlunun yolunu gözledi.,This time he watched his son’s return.,10897,0.91,,,,,,,,
712,yatak,n,bed,Kampın revirinde 12 yatak vardı.,There were 12 beds in the camp’s ward.,11417,0.86,,,,,,,,
713,hah,v,to amaze,Buna karhın az sonra anladı ve hahtı kaldı.,"After all, in just a moment, he realized it and was amazed.",11024,0.89,,,,,,,,
714,bilgisayar,n,computer,Süper bilgisayar park sorunu konusunda da çözüm üretmeli.,The supercomputer should also find a solution to the parking problem.,11636,0.85,,,,,,,,
715,paylah,v,to share,Önce sen paylah da çocuja örnek ol demek isterim böylelerine.,"I would like to say to such people, first you share and set an example for the kid.",10466,0.94,,,,,,,,
716,basın,n,press,Yazılı basın kamuoyunun beklentilerini yeterince karhılayamıyor.,The press does not meet the expectations of the public enough.,11283,0.87,,,,,,,,
