id;word_id;question_type;text;option_1;option_2;option_3;option_4;correct_answer;note
319;319;1;"How do you say ""short"" ?";uzun;kısa;üzün;kisa;1;
320;320;1;"How do you say ""source"" ?";kaynak;kuymak;koymak;kaymak;1;
321;321;1;"How do you say ""income"" ?";gelir;gedir;getir;gemir;1;
322;322;1;"How do you say ""once again"" ?";yeniden;aynı yeni ;daha yeni;yeni dafa;1;
323;323;1;"How do you say ""party"" ?";party;parta;parti;perti;3;
324;324;1;"How do you say ""center"" ?";sinter;merkez;senter;synter;2;
325;325;1;"How do you say ""to prepare"" ?";hazırlamak;hazırlarmak;hazlamak;hazmak;1;
326;326;1;"How do you say ""thus"" ?";aslında;ondan sonra;şöyle;için;3;
327;327;1;"How do you say ""writing"" ?";yaz;yazı;yazanı;yazın;2;
328;328;1;"How do you say ""service"" ?";serviz;hiz;hizmet;metiz;3;
329;329;1;"How do you say ""mind, reason, wisdom"" ?";fikirli;akan;baş fikir;akıl;4;
330;330;1;"How do you say ""president"" ?";presiden;baskan;presidün;başkan;4;
331;331;1;"How do you say ""part, portion, section"" ?";çolum;bolum;bölüm;bolun;3;
332;332;1;"How do you say ""but, however, yet"" ?";aslında;o yüzden;gibi;fakat;4;
333;333;1;"How do you say ""real, true, genuine"" ?";gerzek;gerçek;çergek;gercek;2;
334;334;1;"How do you say ""example, sample"" ?";örnek;yakmak;exemple;ornek;1;
335;335;1;"How do you say ""news"" ?";nabar;haber;naber;naber;2;
336;336;1;"How do you say ""to determine"" ?";belirlemek;berlirlemek;senlemek;çelenmek;1;
337;337;1;"How do you say ""ratio, proportion"" ?";oran;uran;ürün;urun;1;
338;338;1;"How do you say ""student"" ?";öğrenci;öğrünci;ögrenci;oğrenci;1;
339;339;1;"How do you say ""program, schedule"" ?";schedul;program;proğram;skedul;2;
340;340;1;"How do you say ""obvious"" ?";yani;asla;belli;harika;3;
341;341;1;"How do you say ""direction"" ?";yün;yön;asla;düz;2;
342;342;1;"How do you say ""to gather, to collect"" ?";toprakmak;tolanmak;toplamak;toplanmak;3;
343;343;1;"How do you say ""room"" ?";eda;oda;uda;ede;2;
344;344;1;"How do you say ""to select, to choose"" ?";çezmek;onmak;seçmek;seçemek;3;
345;345;1;"How do you say ""future, next"" ?";sonra ki;evvelki;önceki;gelecek;4;
346;346;1;"How do you say ""to be born"" ?";doğmak;dopmak;dormak;durmak;1;
347;347;1;"How do you say ""possible"" ?";nünkun;pümküm;lümkün;mümkün;4;
348;348;1;"How do you say ""to believe"" ?";inatmak;imak;anlamak;inanmak;4;
349;349;1;"How do you say ""even, moreover"" ?";harta;hata;hatta;hattı;3;
350;350;1;"How do you say ""to gain value"" ?";degerlenmek;değelenmek;değermek;değerlenmek;4;
351;351;1;"How do you say ""culture"" ?";kultur;kültür;cültür;cultur;2;
352;352;1;"How do you say ""to weigh"" ?";tarmak;tartmak;tartamak;termek;2;
353;353;1;"How do you say ""back"" ?";arka;düz;sağ;sol;1;
354;354;1;"How do you say ""air, weather"" ?";hayat;vahat;hava;hatta;3;
355;355;1;"How do you say ""foot"" ?";ayak;ayakabbı;parma;baş;1;
356;356;1;"How do you say ""earth, soil"" ?";toprak;torpak;tunmak;sunak;1;
357;357;1;"How do you say ""in fact"" ?";aslin;aislında;aslında;aslinda;3;
358;358;1;"How do you say ""separately, additionally"" ?";rıca;ayrica;ayrıca;syrıca;3;
359;359;1;"How do you say ""university"" ?";üniversitet;universite;universite;üniversite;4;
360;360;1;"How do you say ""to lean"" ?";duyamak;daymak;dayamak;duymak;3;
361;361;1;"How do you say ""level, rank"" ?";duzay;düzey;duzey;düzay;2;
362;362;1;"How do you say ""soul, life"" ?";can;çan;zan;gan;1;
363;363;1;"How do you say ""soldier"" ?";canam;askır;asker;can;3;
364;364;1;"How do you say ""which"" ?";can;hangi;ne;neden;2;
365;365;1;"How do you say ""to close, to shut"" ?";çapmak;katmak;kapanamak;kapamak;4;
366;366;1;"How do you say ""to get full, to fill"" ?";dölmek;dolmak;pukmak;çekmek;2;
367;367;1;"How do you say ""to resemble"" ?";benzenemek;benzemek;banzmak;bonzmak;2;
368;368;1;"How do you say ""to step on, to print, to press"" ?";basmak;başkmak;bazmak;bozmak;1;
369;369;1;"How do you say ""appropriate"" ?";uygun;uzgün;uzgum;uygul;1;
370;370;1;"How do you say ""if, unless"" ?";eğer;eger;eher;ehir;1;
371;371;1;"How do you say ""social"" ?";sosyal;social;sosial;sösyal;1;
372;372;1;"How do you say ""mother, main"" ?";annem;ana;ilk;silk;2;
373;373;1;"How do you say ""benefit"" ?";çıkar;çikar;sikar;pinar;1;
374;374;1;"How do you say ""class, category"" ?";class;sınıf;sinif;zinif;1;
375;375;1;"How do you say ""religion"" ?";den;dın;din;dan;3;
376;376;1;"How do you say ""to stop, to cease"" ?";dinmek;dinlemek;durumak;dinlenmek;1;
377;377;1;"How do you say ""production"" ?";üreletim;üretim;üreltim;uretim;2;
378;378;1;"How do you say ""institution"" ?";çurun;kupun;kurun;kurum;4;
379;379;1;"How do you say ""to grow"" ?";buyumek;büyümek;çurulmek;koyumak;2;
380;380;1;"How do you say ""magic, spell"" ?";söya;büyü;buyu;suyu;2;
381;381;1;"How do you say ""film, movie"" ?";movy;fılm;film;movi;3;
382;382;1;"How do you say ""tied to, bound to"" ?";bahlı;bağlı;baglı;banli;2;
383;383;1;"How do you say ""to forget"" ?";untmak;ununmak;unutmak;unmak;3;
384;384;1;"How do you say ""to descend, to get off"" ?";ininmek;inmek;imek;immek;2;
385;385;1;"How do you say ""lair, cave"" ?";ın;in;on;ön;2;
386;386;1;"How do you say ""a few"" ?";birkaç;birçok;birbiri;biriden;1;
387;387;1;"How do you say ""election, selection"" ?";seçim;sezim;secim;selim;1;
388;388;1;"How do you say ""economic"" ?";ekonomic;ekonomik;economic;economik;2;
389;389;1;"How do you say ""product, produce"" ?";üsün;usun;urun;ürün;4;
390;390;1;"How do you say ""necessity"" ?";içtiyaç;iştiyaç;istiyaç;ihtiyaç;4;
391;391;1;"How do you say ""to send"" ?";günmek;gündermek;göndemek;göndermek;4;
392;392;1;"How do you say ""flagpole"" ?";gonder;gönder;dünder;günder;2;
393;393;1;"How do you say ""to affect, to influence"" ?";klememek;eklemek;etlemek;etkilemek;4;
394;394;1;"How do you say ""sea"" ?";boğaz;sahip;more;deniz;4;
395;395;1;"How do you say ""to analyze"" ?";analysemek;incemek;incelemek;inselemek;3;
396;396;1;"How do you say ""lesson, course"" ?";lessyon;dars;lesyon;ders;4;
397;397;1;"How do you say ""to suppose, to imagine"" ?";sanlamak;sanımak;sanmak;panmak;3;
398;398;1;"How do you say ""to sell"" ?";sadamak;satamak;satmak;sanmak;3;
399;399;1;"How do you say ""gentleman"" ?";ney;şey;bey;rey;3;
400;400;1;"How do you translate ""percent"" in Turkish ?";yuzde;yüzde;puzde;yüzden;2;
401;401;1;"How do you translate ""existence"" in Turkish ?";varmalık;saralık;varalık;varlık;4;
402;402;1;"How do you translate ""member"" in Turkish ?";ade;üye;öye;aye;2;
403;403;1;"How do you translate ""help, aid"" in Turkish ?";yardım;ğardım;yartım;yardın;1;
404;404;1;"How do you translate ""food, meal, eating"" in Turkish ?";erkek;ekmek;emek;yemek;4;
405;405;1;"How do you translate ""politics, policy"" in Turkish ?";politica;politika;politiça;politiğa;2;
406;406;1;"How do you translate ""feeling, sense"" in Turkish ?";dayga;duygu;duyga;düygü;2;
407;407;1;"How do you translate ""to lift, to raise"" in Turkish ?";kaldımak;kaldmak;kaldırmak;kaltırmak;3;
408;408;1;"How do you translate ""game"" in Turkish ?";yoğun;oyun;game;yogun;2;
409;409;1;"How do you translate ""point of view, vision"" in Turkish ?";şorug;görüş;goruş;şörüg;2;
410;410;1;"How do you translate ""son"" in Turkish ?";oğul;kız;çocuk;çoluk;1;
411;411;1;"How do you translate ""degree"" in Turkish ?";deleçe;delece;derece;depece;3;
412;412;1;"How do you translate ""to listen"" in Turkish ?";dinmek;duymak;duyumak;dinlemek;4;
413;413;1;"How do you translate ""front, forward, advanced"" in Turkish ?";alt;üst;ileri;orta;3;
414;414;1;"How do you translate ""newspaper"" in Turkish ?";ğurnal;gazete;gazata;gaçete;2;
415;415;1;"How do you translate ""bad"" in Turkish ?";kotu;mümkel;iyi;kötü;4;
416;416;1;"How do you translate ""a lot of"" in Turkish ?";bolbol;birçok;biraz;çok biraz;2;
417;417;1;"How do you translate ""science"" in Turkish ?";bilim;bılım;belem;bülüm;1;
418;418;1;"How do you translate ""death"" in Turkish ?";olunu;olun;olum;ölüm;4;
419;419;1;"How do you translate ""government"" in Turkish ?";hukumet;hokomat;hükümet;hekemet;3;
420;420;1;"How do you translate ""to present, to submit"" in Turkish ?";sürmek;surumak;sunmak;surmak;3;
421;421;1;"How do you translate ""to lie down"" in Turkish ?";yatmak;yazmak;uyunmak;uyumak;1;
422;422;1;"How do you translate ""yacht"" in Turkish ?";yakt;yacht;yaz;yat;4;
423;423;1;"How do you translate ""to mix, to blend"" in Turkish ?";karmak;karişmak;kamak;kaşişmak;1;
424;424;1;"How do you translate ""snow, profit"" in Turkish ?";ker;kar;kür;kurum;2;
425;425;1;"How do you translate ""milieu, medium"" in Turkish ?";ortam;ortan;ön;ara;1;
426;426;1;"How do you translate ""telephone"" in Turkish ?";tülefon;telifon;telefon;telfon;3;
427;427;1;"How do you translate ""morning"" in Turkish ?";şaba;şabat;sabah;şabah;3;
428;428;1;"How do you translate ""remote, far"" in Turkish ?";yakın;karşı;uzak;uzal;3;
429;429;1;"How do you translate ""to sieve"" in Turkish ?";ulmak;alamak;elemek;elenmek;3;
430;430;1;"How do you translate ""to take to"" in Turkish ?";getirmek;getirmek;götürmek;gatmak;3;
431;431;1;"How do you translate ""writer, author"" in Turkish ?";yazar;yazır;şıırır;yazın;1;
432;432;1;"How do you translate ""piece, fragment"" in Turkish ?";parça;barça;barçı;parçı;1;
433;433;1;"How do you translate ""city"" in Turkish ?";şehir;sehir;köt;köy;1;
434;434;1;"How do you translate ""part, section"" in Turkish ?";kısım;kisim;küsüm;küzün;1;
435;435;1;"How do you translate ""love"" in Turkish ?";aşk;ask;üsk;usk;1;
436;436;1;"How do you translate ""importance"" in Turkish ?";kuç;sekel;önem;barem;3;
437;437;1;"How do you translate ""week"" in Turkish ?";saat;gün;yıl;hafta;4;
438;438;1;"How do you translate ""village"" in Turkish ?";şehir;sel;nehir;köy;4;
439;439;1;"How do you translate ""strange, foreign"" in Turkish ?";dışarıdan;türksüz;yabancı;edrenğer;3;
440;440;1;"How do you translate ""to rise"" in Turkish ?";yukselmek;yüksemek;yükselmek;deseşmek;3;
441;441;1;"How do you translate ""to remember"" in Turkish ?";hazırlamak;hatırlamak;haçırlamak;hatırlmak;2;
442;442;1;"How do you translate ""easy"" in Turkish ?";küley;kolay;köley;zor;2;
443;443;1;"How do you translate ""city"" in Turkish ?";deniz;kent;köy;nehir;2;
444;444;1;"How do you translate ""concept"" in Turkish ?";koncept;kavram;kapram;konzept;2;
445;445;1;"How do you translate ""for example"" in Turkish ?";orneğin;örneğin;ornegin;örnegin;2;
446;446;1;"How do you translate ""method"" in Turkish ?";yontem;yöndem;yöntem;yüntem;3;
447;447;1;"How do you translate ""in this way"" in Turkish ?";ondan sonra;aslında;böylece;ancak;3;
448;448;1;"How do you translate ""bottom, lower, down"" in Turkish ?";ön;üst;aşağı;karşı;3;
449;449;1;"How do you translate ""separate, apart"" in Turkish ?";ayrı;aynı;aysı;aypı;1;
450;450;1;"How do you translate ""varied, various"" in Turkish ?";çeşitsiz;çeşitli;çeşitci;çesitci;2;
451;451;1;"How do you translate ""piece"" in Turkish ?";çanı;tanı;tane;tana;3;
452;452;1;"How do you translate ""to feel, to perceive"" in Turkish ?";hissenmek;hissermek;hissetmek;hissedmek;3;
453;453;1;"How do you translate ""to turn into"" in Turkish ?";donuşmek;dünüşmek;dönüşmek;dönuşmek;3;
454;454;1;"How do you translate ""turning, rotation, return"" in Turkish ?";dün;dun;dön;don;3;
455;455;1;"How do you translate ""despite"" in Turkish ?";ragmen;varma;rağmen;varna;3;
456;456;1;"How do you translate ""light"" in Turkish ?";eğer;ışık;işik;eşik;2;
457;457;1;"How do you translate ""up, upstairs, upper"" in Turkish ?";üst;yukarı;altı;yıkarı;2;
458;458;1;"How do you translate ""to pay"" in Turkish ?";edemek;ödemek;odemek;eklemek;2;
459;459;1;"How do you translate ""to suffice"" in Turkish ?";yedmek;yelmek;yedemek;yetmek;4;
460;460;1;"How do you translate ""the whole, complete, okay"" in Turkish ?";tamam;bütüm;hepsi;olur;1;
461;461;1;"How do you translate ""answer, reply"" in Turkish ?";çevap;cevap;cebap;çevar;2;
462;462;1;"How do you translate ""clear"" in Turkish ?";dupu;duru;dumu;dunu;2;
463;463;1;"How do you translate ""truly"" in Turkish ?";gerçekten;gercekten;gertekten;gerlekten;1;
464;464;1;"How do you translate ""maintenance, care"" in Turkish ?";bakın;bakıp;bekim;bakım;4;
465;465;1;"How do you translate ""company"" in Turkish ?";iz;şirket;is;sirket;2;
466;466;1;"How do you translate ""to produce"" in Turkish ?";urtamak;üretmek;oratmak;uratmak;2;
467;467;1;"How do you translate ""speed"" in Turkish ?";hiz;hız;huz;hüz;2;
468;468;1;"How do you translate ""repetition"" in Turkish ?";tukrar;tekrar;toprar;tikrer;2;
469;469;1;"How do you translate ""evening"" in Turkish ?";öğle;sabah;gece;akşam;4;
470;470;1;"How do you translate ""continuous"" in Turkish ?";bazen;arada sirada;sık;sürekli;4;
471;471;1;"How do you translate ""to tie"" in Turkish ?";baglamak;balamak;burlamak;bağlamak;4;
472;472;1;"How do you translate ""to hit, to strike"" in Turkish ?";çunmak;bunmak;vunmak;vurmak;4;
473;473;1;"How do you translate ""belonging to"" in Turkish ?";aid;air;ail;ait;4;
474;474;1;"How do you translate ""no, donation"" in Turkish ?";sanki;belki;evet;hayır;4;
475;475;1;"How do you translate ""condition"" in Turkish ?";kosul;kusul;kuşul;koşul;4;
476;476;1;"How do you translate ""research, investigation"" in Turkish ?";arastırma;arıstırma;arastma;araştırma;4;
477;477;1;"How do you translate ""cause, reason"" in Turkish ?";sebep;sepeb;serep;seper;1;
478;478;1;"How do you translate ""further"" in Turkish ?";öte;ote;üte;düzey;1;
479;479;1;"How do you translate ""name"" in Turkish ?";isim;izim;izin;iş;1;
480;480;1;"How do you translate ""as if"" in Turkish ?";sanki;için;gibi;çunkü;1;
481;481;1;"How do you translate ""wrong, false"" in Turkish ?";yanlış;doğru;demet;keler;1;
482;482;1;"How do you translate ""head, mind"" in Turkish ?";kiz;bas;kafa;kafe;3;
483;483;1;"How do you translate ""some"" in Turkish ?";kipi;kini;kimi;birçok;3;
484;484;1;"How do you translate ""measurement"" in Turkish ?";ülçü;olçu;ölçü;ulçu;3;
485;485;1;"How do you translate ""common"" in Turkish ?";sirtip;nanam;ortak;soupab;3;
486;486;1;"How do you translate ""project"" in Turkish ?";prujet;proje;projekt;projezt;2;
487;487;1;"How do you translate ""to catch"" in Turkish ?";yetişimek;yetişmek;yetirmek;yetitmek;2;
488;488;1;"How do you translate ""color"" in Turkish ?";rank;renk;rink;runk;2;
489;489;1;"How do you translate ""related to"" in Turkish ?";ilisin;ilişkin;ıllışkın;ulluşkun;2;
490;490;1;"How do you translate ""law"" in Turkish ?";yaşa;yaza;yasa;yaca;3;
491;491;1;"How do you translate ""natural, of course"" in Turkish ?";ok;olur;tabii;tamam;3;
492;492;1;"How do you translate ""square (city)"" in Turkish ?";şehir;square;meydan;mydan;3;
493;493;1;"How do you translate ""teacher"" in Turkish ?";öğrenci;öğremen;öğretmen;ögremen;3;
494;494;1;"How do you translate ""to lessen, to decrease"" in Turkish ?";azamak;elmek;azalmak;azanmak;3;
495;495;1;"How do you translate ""alone, only"" in Turkish ?";yalnız;tek;bekar;evli;1;
496;496;1;"How do you translate ""behavior"" in Turkish ?";davranıs;davranış;davranım;davranın;2;
497;497;1;"How do you translate ""to settle"" in Turkish ?";yepleşmek;yeşleşmek;yerleşmek;yenleşmek;3;
498;498;1;"How do you translate ""out"" in Turkish ?";iç;için;dışarı;arasında;3;
499;499;1;"How do you translate ""plan"" in Turkish ?";kulul;plen;plan;plani;3;
500;500;1;"How do you translate ""first"" in Turkish ?";ikinci;birinci;üçüncü;dördüncü;2;
501;501;1;"How do you translate ""street"" in Turkish ?";soğak;sokak;sogak;sohak;2;
502;502;1;"How do you translate ""hence, accordingly"" in Turkish ?";donayısıyla;dolayısıyla;dolasıyla;polasıyla;2;
503;503;1;"How do you translate ""alive, right side"" in Turkish ?";sag;sol;sağ;sul;3;
504;504;1;"How do you translate ""together"" in Turkish ?";penaber;benaber;beraber;yüksek;3;
505;505;1;"How do you translate ""establishment"" in Turkish ?";kürülüş;küpülüş;kuruluş;kurulus;3;
506;506;1;"How do you translate ""brother/sister, sibling"" in Turkish ?";abi;abla;kardeş;ağabey;3;
507;507;1;"How do you translate ""to fit"" in Turkish ?";aymak;uymak;uyumak;sunmak;2;
508;508;1;"How do you translate ""law, statute"" in Turkish ?";kunun;kanun;canun;çanun;2;
509;509;1;"How do you translate ""to fear"" in Turkish ?";kormak;korkmak;suymak;korkamak;2;
510;510;1;"How do you translate ""most of"" in Turkish ?";en büyük;çoğu;biraz;bol;2;
511;511;1;"How do you translate ""target, mark"" in Turkish ?";fedes;hedef;fedeh;dehef;2;
512;512;1;"How do you translate ""goods, property"" in Turkish ?";mal;mul;sekse;telne;1;
513;513;1;"How do you translate ""to defend"" in Turkish ?";sabunmak;sertemek;savmak;savunmak;4;
514;514;1;"How do you translate ""necessary, needed"" in Turkish ?";merekli;sürekli;surukli;gerekli;4;
515;515;1;"How do you translate ""procedure"" in Turkish ?";islem;izlem;islëm;işlem;4;
516;516;1;"How do you translate ""the East"" in Turkish ?";batı;banı;barı;doğu;4;
517;517;1;"How do you translate ""century"" in Turkish ?";yıl;yüzyıl;binyıl;on yıl;2;
518;518;1;"How do you translate ""track, trace"" in Turkish ?";iş;iz;ıs;is;2;
519;519;1;"How do you translate ""idea, thought, opinion"" in Turkish ?";amaç;fikir;hafıza;metin;2;
520;520;1;"How do you translate ""activity"" in Turkish ?";egzersiz;faaliyet;konu;kitap;2;
521;521;1;"How do you translate ""sector"" in Turkish ?";konu;endüstri;besla;sektör;4;
522;522;1;"How do you translate ""art"" in Turkish ?";dans;yazma;boya;sanat;4;
523;523;1;"How do you translate ""social"" in Turkish ?";sosial;tür;cömert;toplumsal;4;
524;524;1;"How do you translate ""committee"" in Turkish ?";sitir;grup;memsel;kurul;4;
525;525;1;"How do you translate ""teacher, hodja"" in Turkish ?";öğrenci;başkan;belediye başkanı;hoca;4;
526;526;1;"How do you translate ""struggle"" in Turkish ?";yardım;hassasiyet;kavga;mücadele;4;
527;527;1;"How do you translate ""energy"" in Turkish ?";tembel;enerği;kilal;enerji;4;
528;528;1;"How do you translate ""to lose"" in Turkish ?";duyurmak;unutmak;kazanmak;kaybetmek;4;
529;529;1;"How do you translate ""health"" in Turkish ?";sağlık;yemek;yiyecek;hastalık;1;
530;530;1;"How do you translate ""support"" in Turkish ?";destek;nefret;sitem;kayıtsızlık;1;
531;531;1;"How do you translate ""to damage"" in Turkish ?";çezmek;bozmak;buzmak;yuzmak;2;
532;532;1;"How do you translate ""gray"" in Turkish ?";goz;boz;beyaz;kırmızı;2;
533;533;1;"How do you translate ""nation"" in Turkish ?";şehir;millet;devlet;vatandaş;2;
534;534;1;"How do you translate ""to run"" in Turkish ?";koşmak;yürümek;dalmak;dalmak;1;
535;535;1;"How do you translate ""to attach, to wear"" in Turkish ?";takmak;takımak;tekmek;gulmak;1;
536;536;1;"How do you translate ""worker, employee"" in Turkish ?";işçi;patron;birlik;sekreter;1;
537;537;1;"How do you translate ""economy"" in Turkish ?";maaş;ekonomi;çorap borsası;vergi;2;
538;538;1;"How do you translate ""pain, bitter"" in Turkish ?";arı;açı;acı;anaçı;3;
539;539;1;"How do you translate ""to hurt, to become bitter"" in Turkish ?";vurmak;ısırmak;acımak;haçımak;3;
540;540;1;"How do you translate ""love, affection"" in Turkish ?";nefret;sevgi;kıskançlık;endişelenme;2;
541;541;1;"How do you translate ""directed"" in Turkish ?";yonuluk;yönelik;yonelik;yenelik;2;
542;542;1;"How do you translate ""tool, vehicle"" in Turkish ?";ürün;araç;serder;konu;2;
543;543;1;"How do you translate ""wide, broad"" in Turkish ?";zayıf;geniş;kilolu;dar;2;
544;544;1;"How do you translate ""technique"" in Turkish ?";taknık;tecnic;teknik;taknik;3;
545;545;1;"How do you translate ""sometimes, now and then"" in Turkish ?";her zaman;sık;bazen;şimdi;3;
546;546;1;"How do you translate ""limit, border, boundary"" in Turkish ?";sinip;sinir;sınır;sınıp;3;
547;547;1;"How do you translate ""mouth"" in Turkish ?";ağaz;ağız;boğaz;dudaklar;2;
548;548;1;"How do you translate ""natural"" in Turkish ?";naturel;doğal;güzel;yapay;2;
549;549;1;"How do you translate ""quality"" in Turkish ?";kalyt;nitelik;nitilik;sober;2;
550;550;1;"How do you translate ""left"" in Turkish ?";düz;sol;sağ;merkez;2;
551;551;1;"How do you translate ""to become pale, to fade"" in Turkish ?";beyamak;solmak;bronzlaşmak;beyazlamak;2;
552;552;1;"How do you translate ""interest"" in Turkish ?";ilgi;can sıkıntısı;endişelenme;sürpriz;1;
553;553;1;"How do you translate ""lady"" in Turkish ?";hanım;canım;aşkım;asım;1;
554;554;1;"How do you translate ""to solve, to untie"" in Turkish ?";çözmek;çezmek;anlamak;düşünmek;1;
555;555;1;"How do you translate ""meeting, gathering"" in Turkish ?";sürmek;antrenman;teblem;toplantı;4;
556;556;1;"How do you translate ""total, sum"" in Turkish ?";tuplum;toblam;toplam;sulum;3;
557;557;1;"How do you translate ""employee, working"" in Turkish ?";muhasebeci;isci;çalışan;şef;3;
558;558;1;"How do you translate ""bank"" in Turkish ?";banğa;banca;banka;bança;3;
559;559;1;"How do you translate ""towards"" in Turkish ?";düz;gore;doğu;yana;4;
560;560;1;"How do you translate ""role"" in Turkish ?";role;rale;rule;rol;4;
561;561;1;"How do you translate ""half, semi"" in Turkish ?";tane;üçüncü;çeyrek;yarı;4;
562;562;1;"How do you translate ""to put, to land"" in Turkish ?";uçmak;sekmek;ulumak;konmak;4;
563;563;1;"How do you translate ""organization"" in Turkish ?";ürgüt;orga;organisatyon;örgüt;4;
564;564;1;"How do you translate ""international"" in Turkish ?";yabancı;uluslararası;bölgesel;ulusal;2;
565;565;1;"How do you translate ""doctor"" in Turkish ?";lakar;doktor;nektar;döctör;2;
566;566;1;"How do you translate ""to rotate, to turn, to translate"" in Turkish ?";çermek;çevirmek;dönümek;geri dönmek;2;
567;567;1;"How do you translate ""pair, mate, partner"" in Turkish ?";düşman;eş;hayat;ay;2;
568;568;1;"How do you translate ""to dig"" in Turkish ?";bicmek;esmek;biçmek;eşmek;4;
569;569;1;"How do you translate ""(older) brother"" in Turkish ?";abla;teyzem;annem;abi;4;
570;570;1;"How do you translate ""the West"" in Turkish ?";güney;doğu;kuzey;batı;4;
571;571;1;"How do you translate ""arm"" in Turkish ?";el;bacak;parma;kol;4;
572;572;1;"How do you translate ""solution"" in Turkish ?";ilaç;problem;soru;çözüm;4;
573;573;1;"How do you translate ""following"" in Turkish ?";gelecek;önceki;düzen;ardından;4;
574;574;1;"How do you translate ""control"" in Turkish ?";köntröl;sontrol;control;kontrol;4;
575;575;1;"How do you translate ""music"" in Turkish ?";mucik;musik;muzik;müzik;4;
576;576;1;"How do you translate ""law"" in Turkish ?";hukuk;adalet;kanon;adlet;1;
577;577;1;"How do you translate ""friend"" in Turkish ?";dost;arkadas;kuzen;usta;1;
578;578;1;"How do you translate ""data"" in Turkish ?";leri;herap;veri;hesaplama;3;
579;579;1;"How do you translate ""technology"" in Turkish ?";taknoloju;teknoloju;teknoloji;teknoloği;3;
580;580;1;"How do you translate ""change, alternation"" in Turkish ?";degişiklik;değişiksik;değişiklik;değisişiklik;3;
581;581;1;"How do you translate ""car"" in Turkish ?";oto;arba;arada;araba;4;
582;582;1;"How do you translate ""public"" in Turkish ?";ozel;özel;publik;kamu;4;
583;583;1;"How do you translate ""police"" in Turkish ?";jandarma;asker;ordu;polis;4;
584;584;1;"How do you translate ""to grab, to seize, to catch"" in Turkish ?";ayrılmak;ayamak;slaytmak;kapmak;4;
585;585;1;"How do you translate ""pot, plate, container"" in Turkish ?";kup;kur;kap;çup;3;
586;586;1;"How do you translate ""heavy"" in Turkish ?";ağır;yağ;yag;ışık;1;
587;587;1;"How do you translate ""alongside, throughout"" in Turkish ?";boyunca;ırasında;sonra;öncelikle;1;
588;588;1;"How do you translate ""height, length"" in Turkish ?";boy;ağırlık;hacim;miktar;1;
589;589;1;"How do you translate ""rule"" in Turkish ?";kural;kural;ordu;cural;1;
590;590;1;"How do you translate ""aide, helper"" in Turkish ?";yardımcı;yaradımcı;yaratımcı;yaradın;1;
591;591;1;"How do you translate ""understanding"" in Turkish ?";anlayaş;anlayıs;anlayış;anlayatmış;3;
592;592;1;"How do you translate ""market"" in Turkish ?";merket;mazar;pazar;pazaar;3;
593;593;1;"How do you translate ""soul, spirit"" in Turkish ?";rum;roh;ruh;run;3;
594;594;1;"How do you translate ""to break"" in Turkish ?";sırmak;kapırmak;kırmak;çırmak;3;
595;595;1;"How do you translate ""countryside"" in Turkish ?";köy;dağ;kır;yol;3;
596;596;1;"How do you translate ""model"" in Turkish ?";model;kilil;modal;semem;1;
597;597;1;"How do you translate ""poem, poetry"" in Turkish ?";şiir;kitap;edebiyat;roman;1;
598;598;1;"How do you translate ""to steal, to play an instrument"" in Turkish ?";zalmak;çalmak;bonmak;calmak;2;
599;599;1;"How do you translate ""political"" in Turkish ?";konusu;siyasi;sermeti;seleti;2;
600;600;1;"How do you translate ""whichever, any"" in Turkish ?";kimse;ne zaman;her zaman;herhangi;4;
601;601;1;"How do you translate ""glance, view"" in Turkish ?";bakiş;bakıs;bakış;bekiş;3;
602;602;1;"How do you translate ""success"" in Turkish ?";fırtına;arıza;başarı;mücadele;3;
603;603;1;"How do you translate ""calculation"" in Turkish ?";düşünme;faaliyet;hesap;hareket;3;
604;604;1;"How do you translate ""national"" in Turkish ?";uluslararası;milli; beynelmilel;milletlerarası;2;
605;605;1;"How do you translate ""slow"" in Turkish ?";hizli;yavaş;hızlı;yavas;2;
606;606;1;"How do you translate ""market"" in Turkish ?";sezmel;bereket;pazma;piyasa;4;
607;607;1;"How do you translate ""frame"" in Turkish ?";cerceve;zerseve;lezderve;çerçeve;4;
608;608;1;"How do you translate ""condition"" in Turkish ?";sart;part;cart;şart;4;
609;609;1;"How do you translate ""serious"" in Turkish ?";komik;eğlenceli;gülünç;ciddi;4;
610;610;1;"How do you translate ""why"" in Turkish ?";ne;kimse;nere;niye;4;
611;611;1;"How do you translate ""just, only"" in Turkish ?";sadeçe;yalnızca;yelnizce;satece;2;
612;612;1;"How do you translate ""to catch"" in Turkish ?";yacalamak;yakalamak;yaçalamak;yazalamak;2;
613;613;1;"How do you translate ""security, safety"" in Turkish ?";guvenlik;güvenlik;güvanlık;guvanlık;2;
614;614;1;"How do you translate ""since"" in Turkish ?";önceden;beri;barı;önce;2;
615;615;1;"How do you translate ""permission"" in Turkish ?";isin;izin;işin;icin;2;
616;616;1;"How do you translate ""quantity"" in Turkish ?";mistar;miktar;miqtar;miçtar;2;
617;617;1;"How do you translate ""individual"" in Turkish ?";kişi;birey;bir;kisi;2;
618;618;1;"How do you translate ""preference"" in Turkish ?";tercih;mercih;sercih;mersih;1;
619;619;1;"How do you translate ""order"" in Turkish ?";lüzen;süzen;düzen;tüzen;3;
620;620;1;"How do you translate ""city, province"" in Turkish ?";in;ıl;il;im;3;
